year,elections,teryt_code,powiat,gmina,political_party,n_votes,percentage
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Polska Partia Pracy,164,0.89
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Liga Polskich Rodzin,217,1.18
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Prawo i Sprawiedliwość,4627,25.22
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Platforma Obywatelska RP,8832,48.14
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,655,3.57
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,177,0.96
2007,sejm,020101,bolesławiecki,"Bolesławiec, m.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,3676,20.03
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Polska Partia Pracy,34,0.78
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Liga Polskich Rodzin,50,1.14
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,1291,29.43
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Platforma Obywatelska RP,1827,41.65
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,455,10.37
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,118,2.69
2007,sejm,020102,bolesławiecki,"Bolesławiec, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,612,13.95
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Polska Partia Pracy,17,0.86
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Liga Polskich Rodzin,27,1.36
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,617,31.08
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Platforma Obywatelska RP,707,35.62
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,290,14.61
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,53,2.67
2007,sejm,020103,bolesławiecki,"Gromadka, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,274,13.80
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Polska Partia Pracy,63,1.40
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Liga Polskich Rodzin,67,1.48
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,1521,33.70
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Platforma Obywatelska RP,1814,40.19
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,479,10.61
2007,sejm,020104,bolesławiecki,"Nowogrodziec, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,106,2.35
