year,elections,teryt_code,powiat,gmina,surname,names,n_votes,percentage
2011,senat,020101,bolesławiecki,Miasto Bolesławiec,Dulnik,Jerzy Stanisław,423,"2,74"
2011,senat,020101,bolesławiecki,Miasto Bolesławiec,Hetel,Piotr,2 414,"15,61"
2011,senat,020101,bolesławiecki,Miasto Bolesławiec,Kulczycki,Roman Marian,2 403,"15,54"
2011,senat,020101,bolesławiecki,Miasto Bolesławiec,Michalski,Jan,4 243,"27,44"
2011,senat,020101,bolesławiecki,Miasto Bolesławiec,Stemler,Anetta Elżbieta,299,"1,93"
2011,senat,020101,bolesławiecki,Miasto Bolesławiec,Zieliński,Jerzy Andrzej,5 679,"36,73"
2011,senat,020102,bolesławiecki,Gmina Bolesławiec,Dulnik,Jerzy Stanisław,353,"8,65"
2011,senat,020102,bolesławiecki,Gmina Bolesławiec,Hetel,Piotr,431,"10,56"
2011,senat,020102,bolesławiecki,Gmina Bolesławiec,Kulczycki,Roman Marian,834,"20,43"
2011,senat,020102,bolesławiecki,Gmina Bolesławiec,Michalski,Jan,1 216,"29,78"
2011,senat,020102,bolesławiecki,Gmina Bolesławiec,Stemler,Anetta Elżbieta,108,"2,65"
2011,senat,020102,bolesławiecki,Gmina Bolesławiec,Zieliński,Jerzy Andrzej,1 141,"27,95"
2011,senat,020103,bolesławiecki,Gmina Gromadka,Dulnik,Jerzy Stanisław,194,"11,36"
2011,senat,020103,bolesławiecki,Gmina Gromadka,Hetel,Piotr,166,"9,72"
2011,senat,020103,bolesławiecki,Gmina Gromadka,Kulczycki,Roman Marian,488,"28,57"
2011,senat,020103,bolesławiecki,Gmina Gromadka,Michalski,Jan,468,"27,40"
2011,senat,020103,bolesławiecki,Gmina Gromadka,Stemler,Anetta Elżbieta,55,"3,22"
2011,senat,020103,bolesławiecki,Gmina Gromadka,Zieliński,Jerzy Andrzej,337,"19,73"
2011,senat,020104,bolesławiecki,Gmina Nowogrodziec,Dulnik,Jerzy Stanisław,421,"11,22"
2011,senat,020104,bolesławiecki,Gmina Nowogrodziec,Hetel,Piotr,332,"8,85"
2011,senat,020104,bolesławiecki,Gmina Nowogrodziec,Kulczycki,Roman Marian,837,"22,31"
2011,senat,020104,bolesławiecki,Gmina Nowogrodziec,Michalski,Jan,1 045,"27,85"
2011,senat,020104,bolesławiecki,Gmina Nowogrodziec,Stemler,Anetta Elżbieta,103,"2,75"
2011,senat,020104,bolesławiecki,Gmina Nowogrodziec,Zieliński,Jerzy Andrzej,1 014,"27,03"
2011,senat,020105,bolesławiecki,Gmina Osiecznica,Dulnik,Jerzy Stanisław,108,"5,56"
2011,senat,020105,bolesławiecki,Gmina Osiecznica,Hetel,Piotr,238,"12,24"
2011,senat,020105,bolesławiecki,Gmina Osiecznica,Kulczycki,Roman Marian,351,"18,06"
2011,senat,020105,bolesławiecki,Gmina Osiecznica,Michalski,Jan,616,"31,69"
2011,senat,020105,bolesławiecki,Gmina Osiecznica,Stemler,Anetta Elżbieta,61,"3,14"
2011,senat,020105,bolesławiecki,Gmina Osiecznica,Zieliński,Jerzy Andrzej,570,"29,32"
2011,senat,020106,bolesławiecki,Gmina Warta Bolesławiecka,Dulnik,Jerzy Stanisław,214,"9,35"
2011,senat,020106,bolesławiecki,Gmina Warta Bolesławiecka,Hetel,Piotr,241,"10,53"
2011,senat,020106,bolesławiecki,Gmina Warta Bolesławiecka,Kulczycki,Roman Marian,565,"24,68"
2011,senat,020106,bolesławiecki,Gmina Warta Bolesławiecka,Michalski,Jan,748,"32,68"
2011,senat,020106,bolesławiecki,Gmina Warta Bolesławiecka,Stemler,Anetta Elżbieta,77,"3,36"
2011,senat,020106,bolesławiecki,Gmina Warta Bolesławiecka,Zieliński,Jerzy Andrzej,444,"19,40"
2011,senat,020201,dzierżoniowski,Miasto Bielawa,Jurcewicz,Stanisław,5 151,"47,72"
2011,senat,020201,dzierżoniowski,Miasto Bielawa,Makarczyk,Jerzy Michał,1 736,"16,08"
2011,senat,020201,dzierżoniowski,Miasto Bielawa,Niedzielski,Aleksander,1 194,"11,06"
2011,senat,020201,dzierżoniowski,Miasto Bielawa,Urbanowski,Henryk Czesław,2 336,"21,64"
2011,senat,020201,dzierżoniowski,Miasto Bielawa,Wijatyk,Bogusław Grzegorz,378,"3,50"
2011,senat,020202,dzierżoniowski,Miasto Dzierżoniów,Jurcewicz,Stanisław,6 546,"48,87"
